mode,N,H,D,Dv,L,tri_ms,ref_ms,speedup,mae,status
dense,256,4,64,64,64,0.0711,0.0186,0.2613,1.147007e-04,SLOWER
dense,256,4,64,64,128,0.0725,0.0183,0.2529,1.099181e-01,SLOWER
dense,256,4,64,64,256,0.0719,0.0184,0.2555,1.352254e-01,SLOWER
dense,256,4,64,64,512,0.0748,0.0184,0.2463,1.474645e-01,SLOWER
dense,256,8,64,64,64,0.0704,0.0184,0.2611,1.130213e-04,SLOWER
dense,256,8,64,64,128,0.0718,0.0183,0.2548,1.097677e-01,SLOWER
dense,256,8,64,64,256,0.0719,0.0188,0.2617,1.364214e-01,SLOWER
dense,256,8,64,64,512,0.0854,0.0183,0.2137,1.466784e-01,SLOWER
dense,256,4,128,128,64,0.0705,0.0189,0.2683,1.007746e-04,SLOWER
dense,256,4,128,128,128,0.0715,0.0188,0.2628,1.122201e-01,SLOWER
dense,256,4,128,128,256,0.0718,0.0188,0.2617,1.356481e-01,SLOWER
dense,256,4,128,128,512,0.0929,0.0188,0.2027,1.460029e-01,SLOWER
dense,256,8,128,128,64,0.0828,0.0203,0.2447,1.033883e-04,SLOWER
dense,256,8,128,128,128,0.0719,0.0203,0.2817,1.109112e-01,SLOWER
dense,256,8,128,128,256,0.1022,0.0202,0.1979,1.360168e-01,SLOWER
dense,256,8,128,128,512,0.1906,0.0202,0.1062,1.456454e-01,SLOWER
dense,1024,4,64,64,64,0.0698,0.0182,0.2608,1.133653e-04,SLOWER
dense,1024,4,64,64,128,0.0707,0.0184,0.2605,1.106384e-01,SLOWER
dense,1024,4,64,64,256,0.0862,0.0182,0.2116,1.358772e-01,SLOWER
dense,1024,4,64,64,512,0.1928,0.0189,0.0978,1.465492e-01,SLOWER
dense,1024,4,64,64,1024,0.3797,0.0182,0.0479,1.511985e-01,SLOWER
dense,1024,8,128,128,64,0.1076,0.0635,0.5902,1.009311e-04,SLOWER
dense,1024,8,128,128,128,0.2001,0.0635,0.3174,1.099942e-01,SLOWER
dense,1024,8,128,128,256,0.4140,0.0637,0.1538,1.356281e-01,SLOWER
dense,1024,8,128,128,512,0.8176,0.0637,0.0780,1.462259e-01,SLOWER
dense,1024,8,128,128,1024,1.6288,0.0650,0.0399,1.510938e-01,SLOWER
